home_team,away_team,home_goals,away_goals
Bayern Munich,RB Leipzig,6,0
Ein Frankfurt,Werder Bremen,4,1
Freiburg,Augsburg,1,3
Heidenheim,Wolfsburg,1,3
Leverkusen,Hoffenheim,1,2
Union Berlin,Stuttgart,2,1
St Pauli,Dortmund,3,3
Mainz,FC Koln,0,1
M'gladbach,Hamburg,0,0
Hamburg,St Pauli,0,2
Hoffenheim,Ein Frankfurt,1,3
RB Leipzig,Heidenheim,2,0
Stuttgart,M'gladbach,1,0
Werder Bremen,Leverkusen,3,3
Augsburg,Bayern Munich,2,3
Wolfsburg,Mainz,1,1
Dortmund,Union Berlin,3,0
FC Koln,Freiburg,4,1
Leverkusen,Ein Frankfurt,3,1
Freiburg,Stuttgart,3,1
Heidenheim,Dortmund,0,2
Mainz,RB Leipzig,0,1
Union Berlin,Hoffenheim,2,4
Wolfsburg,FC Koln,3,3
Bayern Munich,Hamburg,5,0
St Pauli,Augsburg,2,1
M'gladbach,Werder Bremen,0,4
Stuttgart,St Pauli,2,0
Augsburg,Mainz,1,4
Hamburg,Heidenheim,2,1
Hoffenheim,Bayern Munich,1,4
Werder Bremen,Freiburg,0,3
RB Leipzig,FC Koln,3,1
Ein Frankfurt,Union Berlin,3,4
Leverkusen,M'gladbach,1,1
Dortmund,Wolfsburg,1,0
Bayern Munich,Werder Bremen,4,0
Heidenheim,Augsburg,2,1
Mainz,Dortmund,0,2
St Pauli,Leverkusen,1,2
Wolfsburg,RB Leipzig,0,1
M'gladbach,Ein Frankfurt,4,6
Freiburg,Hoffenheim,1,1
FC Koln,Stuttgart,1,2
Union Berlin,Hamburg,0,0
Hoffenheim,FC Koln,0,1
Augsburg,Wolfsburg,3,1
Dortmund,RB Leipzig,1,1
Leverkusen,Union Berlin,2,0
Werder Bremen,St Pauli,1,0
Ein Frankfurt,Bayern Munich,0,3
Stuttgart,Heidenheim,1,0
Hamburg,Mainz,4,0
M'gladbach,Freiburg,0,0
Union Berlin,M'gladbach,3,1
FC Koln,Augsburg,1,1
Heidenheim,Werder Bremen,2,2
Mainz,Leverkusen,3,4
RB Leipzig,Hamburg,2,1
Wolfsburg,Stuttgart,0,3
Bayern Munich,Dortmund,2,1
